Sample,Sample protolith type,U-Pb data? (Yes/No),Used in MDS?,Lu-Hf data? (Yes/No),Country,Region,Domain,Group/Strat unit,Lithology,Longitude,Latitude,Location method,Analytical method,Mineral,Reference,DOI URL,age,ageerr,
Mad 68,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Orthogneiss granitique oeillé,48.4665,-18.9345,,,zircon,Kröner et al. 2000,,789,0.9,2
Mad 73,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss granitique gris recoupé par M74,49.0669,-18.7175,,,zircon,Kröner et al. 2000,,792.2,0.9,2
Mad 74,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss granitique à grenat,49.0669,-18.7175,,,zircon,Kröner et al. 2000,,791.1,0.9,2
Mad 76,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss Q-syénitique,48.8085,-18.9513,,,zircon,Kröner et al. 2000,,788.8,0.9,2
Mad 78,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Charnockite Ivato -  Zircon hérité à 2524 Ma,47.4581,-18.7963,,,zircon,Kröner et al. 2000,,801,2,2
Mad 79,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granite un peu folié -  Zrc à 751 et 1735 Ma,47.4163,-18.7847,,,zircon,Kröner et al. 2000,,554.4,1,2
Mad 80,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Gneiss charnockitique,47.2868,-18.6986,,,zircon,Kröner et al. 2000,,763.7,0.9,2
Mad 88,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss oeillé à biotite W Faratsiho,46.9131,-19.3525,,,zircon,Kröner et al. 2000,,758.3,0.9,2
Mad 99,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Monzonite Q -  Zrc à 2502 Ma et 1185 Ma,47.0368,-20.0959,,,zircon,Kröner et al. 2000,,770,18,2
"Meert et al., 2001",Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Carion Granite,47.4533,-18.5693,,,zircon,"Meert et al., 2001",,532.1,5.2,2
BM-127-95,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,gabbro,46.03221667,-22.02055,,,zircon,Müller 2000,,982.3,2.9,2
BM-3/C-97,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,leptynite,46.29,-22.49,,,zircon,Müller 2000,,956,40,2
MG132,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granite Ambatomiranty (âge minimum) -  scelle la virgation de Tana (LI),47.5435,-19.085,,,zircon,Paquette & Nedelec  1998,,561,4,2
MG14,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granite stratoïde -  juvénile,47.0184,-17.8662,,,zircon,Paquette & Nedelec  1998,,632,2,2
MG65,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granite stratoïde -  crustal -  Zr hérités à 2200-2400 Ma,47.236,-18.5858,,,zircon,Paquette & Nedelec  1998,,627,2,2
MG93,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granite stratoïde -  juvénile,47.1131,-17.9373,,,zircon,Paquette & Nedelec  1998,,633,1,2
Raoelison 1997,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,"Orthogneiss granitique, Amborompotsy",46.4332,-20.6057,,,zircon,Raoelison 1997,,776.6,50,2
GW175,Magmatic,No,,No,Madagascar,Madagascar - central,Q/,,Metagranodiorite,50.1598,-15.0265,,,zircon,Schofield et al. 2010,,2542,7,2
C,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,"Orthogneiss dioritique, Ampitomita, W-SW Mahaiza",46.7294,-19.9475,,,zircon,Tucker  et al. 2007,,784,2,2
C,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,Andaingo diorite gneiss,46.7294,-19.9475,,,zircon,Tucker  et al. 2007,,784,2,2
E,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,"Orthogneiss gabbro, Mania, Malaikavaratsy",46.2887,-20.049,,,zircon,Tucker  et al. 2007,,786,16,2
G,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,"Orthogneiss anorthositique, Mania, Malaikavaratsy",45.8193,-20.001,,,zircon,Tucker  et al. 2007,,793,5,2
G,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,"Gabbro Anorthosite, Mania river",45.8193,-20.001,,,zircon,Tucker  et al. 2007,,793,5,2
I,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,Miandrivaso gabbro gneiss,45.531,-19.5858,,,zircon,Tucker  et al. 2007,,982,2,2
O,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,"Filon granititique, Mania, Malaikavaratsy",46.2887,-20.049,,,zircon,Tucker  et al. 2007,,543,3,2
B,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Orthogneiss granitique à biotite d' Andohamaho, Est Itremo",47.1184,-20.4019,,,zircon,Tucker  et al. 2007,,789,2,2
J,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Faliarivo granite,46.6884,-19.981,,,zircon,Tucker  et al. 2007,,537,4,2
K,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Granite Vohimavo,46.8488,-20.2961,,,zircon,Tucker  et al. 2007,,542,3,2
RT-121a,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Antanatikely Tonalite gneiss,46.6756,-19.7416,,,zircon,"Tucker 1997-1999; Handke, 2001",,2503,5,2
H,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,Dabolava diorite gneiss,45.6928,-19.6679,,,zircon,Tucker et al.  2002,,1013,3,2
D,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,"Orthogneiss gabbroïque, Kamaroa, Mania, W Lazarivo",46.3088,-20.1375,,,zircon,Tucker et al.  2007,,784,6,2
H,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,"Orthogneiss dioritique, Dabolava",45.6928,-19.6679,,,zircon,Tucker et al.  2007,,1013,3,2
I,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,"Orthogneiss gabbroïque, Miandrivazo",45.531,-19.5858,,,zircon,Tucker et al.  2007,,982,2,2
J,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Granite Faliarivo,46.6884,-19.981,,,zircon,Tucker et al.  2007,,537,4,2
M,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Granite, Andringitra, Sud Antoetra",46.8532,-20.8093,,,zircon,Tucker et al.  2007,,539,2,2
N,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,"Granite, Vohitrakidahy",47.013,-20.6381,,,zircon,Tucker et al.  2007,,546,2,2
LA-300D,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Amphibolite à biotite in 300b,47.4578,-19.3674,,,zircon,Tucker et al. 1999,,2515,2,2
LA-300e,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss charnockite in 300b,47.4578,-19.3674,,,zircon,Tucker et al. 1999,,2505,6,2
MH-51,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss tonalitique à biotite (âge voisin du magmatisme),47.0031,-20.5613,,,zircon,Tucker et al. 1999,,2511,3,2
MLG-17,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Gneiss gabbroique à biotite et hornblende,46.6728,-17.0868,,,zircon,Tucker et al. 1999,,2518,5,2
RT-121a,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss tonalitique à biotite-horblende,46.6756,-19.7416,,,zircon,Tucker et al. 1999,,2503,5,2
RT-76b,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,"gneiss oeillé à biotite  -  pont Betsiboka, donc Unité At",46.9468,-16.9371,,,zircon,Tucker et al. 1999,,2514,2,2
LA-300a,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Granite rose équant -  Zrc à 1863 et 1325 Ma,47.4578,-19.3674,,,zircon,Tucker et al. 1999,,540,3,2
LA-300b,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,gneiss syénitique à cpx -  2 Zrc à 2590 Ma,47.4578,-19.3674,,,zircon,Tucker et al. 1999,,790,2,2
RT-78,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Gneiss tonalitique à biotite,46.8182,-16.9518,,,zircon,Tucker et al. 1999,,2502,4,2
RT-96b,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Gneiss gabbroique à hornblende -  âge du gabbro,48.75,-18.9782,,,zircon,Tucker et al. 1999,,2494,4,2
RT-99,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Gneiss granodiorite à biotite -  âge du protolithe,48.6577,-18.9639,,,zircon,Tucker et al. 1999,,2517,2,2
RT-74,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Granodiorite à biotite,46.67,-17.0877,,,zircon,Tucker et al. 1999,,779,2,2
RT-75a,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Granodiorite à biotite et sillimanite dans gneiss,46.8623,-16.9219,,,zircon,Tucker et al. 1999,,779,3,2
RT-95b,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Gneiss granodioritique à hornblende,48.6056,-18.9763,,,zircon,Tucker et al. 1999,,637,1,2
A,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,"Orthogneiss granitique Mahaiza, Nord Itremo",46.7695,-19.9267,,,zircon,Tucker et al. 2007,,2493,1,2
A,Magmatic,No,,No,Madagascar,Madagascar - central,ANT,,Mahaiza granite orthogneiss,46.7695,-19.9267,,,zircon,Tucker et al. 2007,,2493,1,2
TUC_2007_56,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,Malaikavaratsy gabbro/tonalite,46.2738,-20.047,,,zircon,Tucker et al. 2007,,786,13,2
L,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Syénite Marovoalavo,46.7006,-20.3994,,,zircon,Tucker et al. 2007,,570,1,2
TUC_2007_10,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Falairivo granite,46.5868,-20.031,,,zircon,Tucker et al. 2007,,537,4,2
TUC_2007_12,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Ifasina syenite,46.705,-20.5775,,,zircon,Tucker et al. 2007,,570,1,2
TUC_2007_13,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Andringitra granite,46.8682,-20.7935,,,zircon,Tucker et al. 2007,,539,2,2
IHY-08-03A,Magmatic,Yes,No,No,Madagascar,Madagascar - central,Antananarivo Domain,Imorona-Itsindro,Metagranite,46.239700,-22.317400,Reported,SHRIMP,Zircon,Tucker et al. 2011,http://dx.doi.org/10.1016/j.precamres.2010.12.008,810,16,
IHY-08-10,Magmatic,Yes,No,No,Madagascar,Madagascar - central,Ikalamavony Domain,,Metagranite,46.360600,-22.403300,Reported,SHRIMP,Zircon,Tucker et al. 2011,http://dx.doi.org/10.1016/j.precamres.2010.12.008,803,18,
IHY-08-23,Magmatic,Yes,No,No,Madagascar,Madagascar - central,Ikalamavony Domain,Ikalamavony Group,Metagranite,46.355500,-22.222500,Reported,SHRIMP,Zircon,Tucker et al. 2011,http://dx.doi.org/10.1016/j.precamres.2010.12.008,1035,30,
PD07018,Magmatic,Yes,No,No,Madagascar,Madagascar - central,Ikalamavony Domain,Ikalamavony Group,garnet-biotite paragneiss,45.900487,-19.648181,Reported,SHRIMP,Zircon,Tucker et al. 2011,http://dx.doi.org/10.1016/j.precamres.2010.12.008,1050,50,
PD07019,Magmatic,Yes,No,No,Madagascar,Madagascar - central,Ikalamavony Domain,Ikalamavony Group,garnet-biotite paragneiss,45.900487,-19.648181,Reported,SHRIMP,Zircon,Tucker et al. 2011,http://dx.doi.org/10.1016/j.precamres.2010.12.008,998,15,
PR06090B,Magmatic,Yes,No,No,Madagascar,Madagascar - central,Ikalamavony Domain,Ikalamavony Group,quartzo-feldspathic gneiss,45.495532,-19.515086,Reported,SHRIMP,Zircon,Tucker et al. 2011,http://dx.doi.org/10.1016/j.precamres.2010.12.008,1013,10,
MAE-1018B,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Aplite,46.8883,-17.212,,,zircon,Tucker et al. 2011a,,760,11,2
MAE-1023B,Magmatic,No,,No,Madagascar,Madagascar - central,TSAR,,Aplite dike,46.8638,-17.1906,,,zircon,Tucker et al. 2011a,,770,10,2
TUC_2007_03,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,Andaingo diorite,46.7092,-19.9705,,,zircon,"Tucker et al., 2007",,784,2,2
TUC_2007_04,Magmatic,No,,No,Madagascar,Madagascar - central,IKAL,,Kamaroa gabbro,46.3025,-20.1405,,,zircon,"Tucker et al., 2007",,784,6,2
TUC_2007_11,Magmatic,No,,No,Madagascar,Madagascar - central,ITREMO,,Vohimavo granite,46.5923,-20.3217,,,zircon,"Tucker et al., 2007",,542,3,2
IHY-08-18A,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,Metagranite,46.142,-21.9085,,,zircon,BRGM-USGS,,520,50,2
M03-26,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,Spr-OPx gneiss / Cpx marble,45.9293,-23.4919,,,zircon,"Collins et al., 2012",,1844,18,2
M03-28,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,Bi-Sil-Crd gneiss,46.1466,-22.4051,,,zircon,"Collins et al., 2012",,1920,15,2
M03-06,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Psamopelitic gneiss,44.85819444,-23.922444,,,zircon,"Collins et al., 2012",,852,4,2
M03-01,Magmatic,No,,No,Madagascar,Madagascar - southern,VOH,,Grt-Bt-Qtz-Fk gneiss,44.660694,-23.871972,,,zircon,"Collins et al., 2012",,841,15,2
M95-22,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Dyke aplite W Ankafotra -  âge mise en place,45.1231,-23.8572,,,zircon,de Wit  et al. 2001,,608,1,2
M95-23A,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Gneiss pélitique -  âge métamorphisme,45.1825,-23.7944,,,zircon,de Wit et al. 2001,,618,2,2
M95-39A,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Anorthosite déformée -  âge métam ou igné -  métam à 561 ± 1 Ma,45.1619,-23.9117,,,zircon,de Wit et al. 2001,,624,6,2
M92-3E,Magmatic,No,,No,Madagascar,Madagascar - southern,VOH,,"Pegmatite, âge de mise en place -  D3 = 607-609 -  monazite 575-520",44.5896,-24.4802,,,monazite,de Wit et al. 2001,,608,1,2
M92-51,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,Pegmatite -  zircon détritique à 958-1208 Ma -  monazite = métamorphique,46.1481,-22.4026,,,monazite,de Wit et al. 2001,,548,2,2
M95-14/15A,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Leptynite métavolc Ampanihy,44.9493,-24.5333,,,xenothime,de Wit et al. 2001,,722,50,2
M95-14/15A,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Leptynite métavolc Ampanihy,44.9493,-24.5333,,,monazite,de Wit et al. 2001,,527,2,2
M95-6,Magmatic,No,,No,Madagascar,Madagascar - southern,VOH,,Dyke granite leuco -  D1 = 628-648 -  D2 = 627-628,44.5891,-24.5208,,,monazite,de Wit et al. 2001,,618,10,2
M92-17,Magmatic,No,,No,Madagascar,Madagascar - southern,VOH,,Charnockite non déformée (Mz 605-555 metamorphisme/métasomatose),44.8786,-24.6863,,,zircon,de Wit et al. 2001,,614,2,2
SBO_0048_00,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Ankiliabao granite,44.9581,-24.6904,,,zircon,GAF-BGR 2008,,922,20,2
SBO_0090_00,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Ankiliabao anorthosite,44.9246,-24.5178,,,zircon,GAF-BGR 2008,,920,36,2
SBO_0154_00,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Marasovoa orthogneiss,44.8605,-23.8578,,,zircon,GAF-BGR 2008,,667,4,2
SBO_0827_00,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,felsic volcanic sheet,44.8208,-24.2364,,,zircon,GAF-BGR 2008,,640,50,2
SBO_1542_00,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,post-tectonic granite,45.5256,-23.2701,,,zircon,GAF-BGR 2008,,541,2,2
SBO_1589_00,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Androyan granite,45.6699,-23.7751,,,zircon,GAF-BGR 2008,,576,4,2
WHI_0088_00,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,ortho-gneiss,44.9503,-23.9648,,,zircon,GAF-BGR 2008,,645,25,2
SBO_1010_00,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,Ambalavoa granite,46.6385,-23.7348,,,zircon,GAF-BGR 2008,,518,15,2
SBO_1040_00,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,Ambalavoa granite,46.8161,-24.274,,,zircon,GAF-BGR 2008,,573,6,2
WHI_0375_00,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,felsic volcanic sheet,46.2497,-22.3158,,,zircon,GAF-BGR 2008,,736,16,2
Z283,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Granitic gneiss,45.4925,-23.527,,,zircon,JICA 2012,,2091,34,2
Z202,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,Granitic gneiss,45.7031,-24.106,,,zircon,JICA 2012,,1781,31,2
N013,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Granitic gneiss,45.6372,-23.7811,,,zircon,JICA 2012,,578.2,7.5,2
N013,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Granitic gneiss,45.6372,-23.7811,,,zircon,JICA 2012,,542.2,7.7,2
R069,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Granite,45.6151,-23.2899,,,zircon,JICA 2012,,590,11.5,2
Z232,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Granitic gneiss,45.5193,-24.3217,,,zircon,JICA 2012,,572,32,2
Z258,Magmatic,No,,No,Madagascar,Madagascar - southern,ANDR,,Augen gneiss,45.5458,-23.2213,,,zircon,JICA 2012,,563.1,9.6,2
N053,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,Syenite,46.1038,-23.6446,,,zircon,JICA 2012,,580,11,2
KRO_1999_32,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,Granite biotite-Gt NE Ihosy,46.1705,-22.3918,,,zircon,Kröner et al. 1999,,569,2,2
Mad 32,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,Granite biotite-Gt NE Ihosy -  héritage source à 1230 Ma,46.1705,-22.3918,,,zircon,Kröner et al. 1999,,568.7,1.6,2
BM-303-96,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,leptynite,46.59,-22.82,,,zircon,Müller 2000,,1839.8,4.7,2
BM-3/B-97,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,granite pegmatite,46.29,-22.49,,,zircon,Müller 2000,,534.6,1.6,2
BM-73-97,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,granite,46.16,-22.41,,,zircon,Müller 2000,,527,25,2
A1210,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,Orthogneiss Vohimena -  UI=1679 ± 4 Ma,46.4796,-24.6197,,,zircon,Paquette et al.  1994,,1679,4,2
PAQ_1994_1002,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,orthogneiss,46.8584,-24.7468,,,zircon,"Paquette et al. , 1994",,554,20,2
PAQ_1994_1003,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,orthogneiss,46.8564,-24.7441,,,zircon,"Paquette et al. , 1994",,520,18,2
PAQ_1994_1010,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,orthogneiss,46.9726,-25.0008,,,zircon,"Paquette et al. , 1994",,552,19,2
PAQ_1994_1111,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,orthogneiss,46.8636,-24.7955,,,zircon,"Paquette et al. , 1994",,536,13,2
PAQ_1994_1210,Magmatic,No,,No,Madagascar,Madagascar - southern,ANOY,,Stratoid granite,46.5439,-24.6041,,,zircon,"Paquette et al. , 1994",,572,14,2
IHY-08-12,Magmatic,Yes,No,No,Madagascar,Madagascar - southern,Anoysen Domain,Tranomaro Group,Metagabbro,46.070800,-21.900900,Reported,SHRIMP,Zircon,Tucker et al. 2011,http://dx.doi.org/10.1016/j.precamres.2010.12.008,1908,8,
IHY-08-20A,Magmatic,Yes,No,No,Madagascar,Madagascar - southern,Anoysen Domain,Tranomaro Group,Metagranite,46.014200,-22.494500,Reported,SHRIMP,Zircon,Tucker et al. 2011,http://dx.doi.org/10.1016/j.precamres.2010.12.008,1793,19,
IHY-08-12,Magmatic,Yes,,No,Madagascar,Madagascar - southern,ANOY,,Metagabbro,46.0708,-21.9009,,,zircon,Tucker et al. 2011b,,1908,8,2
IHY-08-20A,Magmatic,Yes,,No,Madagascar,Madagascar - southern,ANOY,,Metagranite,46.0142,-22.4945,,,zircon,Tucker et al. 2011b,,1793,19,2
102-216,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Medium-grained leucocratic biotite-bearing granite,35.53054895,-4.86880007,,,zircon,Thomas et al. 2016,,2775,19,
AMB178_80,Magmatic,Yes,,Yes,Africa,Africa - Tanzania Craton,,,Granodioritic orthogneiss,32.32671828,-6.394983934,,,zircon,Thomas et al. 2016,,2782,15,
FMP273W,Magmatic,No,,Yes,Africa,Africa - Tanzania Craton,,,Granitic orthogneiss,34.26441278,-4.669052278,,,zircon,Thomas et al. 2016,,2822,4,
MMR7,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Anaboriana-Manampotsy,Manampotsy Group,Metagabbro,47.7745,-20.8208,Reported,SHRIMP/ICP-MS,Zircon,BGS et al. 2008/Armistead et al. 2017,NA,3000,200,
RT07-076,Magmatic,No,,No,Madagascar,,BEM,,Granite,49.4385,-13.4362,,,zircon,BGS et al. 2008,,708,6,2
RT99A-74,Magmatic,No,,No,Madagascar,,BEM,,Marojezy Charnockite,49.678,-14.7175,,,zircon,Buchwaldt et al. 2003,,521,4,2
BB/06A/12,Magmatic,No,,No,Madagascar,,BEM,,Rhyolite,49.8762,-13.2988,,,zircon,Thomas et al. 2009,,719,6,2
BDW315A,Magmatic,No,,No,Madagascar,,BEM,,Métagranodiorite,49.3712,-13.766,,,zircon,Thomas et al. 2009,,718,6,2
BT/06/2/36,Magmatic,No,,No,Madagascar,,BEM,,Diorite,49.9153,-13.9953,,,zircon,Thomas et al. 2009,,755,5,2
BT/06/41,Magmatic,No,,No,Madagascar,,BEM,,Metatonalitic orthogneiss,49.9411,-14.0582,,,zircon,Thomas et al. 2009,,746,4,2
RT06-078,Magmatic,No,,No,Madagascar,,BEM,,Gneiss Quartzo-Feldspathique,49.741,-12.9375,,,zircon,Thomas et al. 2009,,739,8,2
RT-06-467,Magmatic,No,,No,Madagascar,,BEM,,granodioritic gneiss,49.7379,-14.2695,,,zircon,Thomas et al. 2009,,755,6,2
RT07-121,Magmatic,No,,No,Madagascar,,BEM,,Métagranodiorite,48.7316,-13.7815,,,zircon,Thomas et al. 2009,,711,6,2
RT07-146,Magmatic,No,,No,Madagascar,,BEM,,Charnockite,48.8074,-13.6728,,,zircon,Thomas et al. 2009,,705,6,2
WB73,Magmatic,No,,No,Madagascar,,BEM,,granite gneiss,49.9354,-14.8856,,,zircon,Thomas et al. 2009,,758,5,2
RT-95D-85,Magmatic,No,,No,Madagascar,,BEM,,aplite dike,49.756,-13.2019,,,zircon,Tucker et al. 1999b,,715,50,2
RT-95M-88A,Magmatic,No,,No,Madagascar,,BEM,,Manambery granite,49.9419,-13.4423,,,zircon,Tucker et al. 1999b,,714,50,2
RT-95M-90A,Magmatic,No,,No,Madagascar,,BEM,,Gneiss granodioritique (Gr. Ampanefena-Tsaratanana),49.9634,-13.9741,,,zircon,Tucker et al. 1999b,,753.8,50,2
RT-95M-90B,Magmatic,No,,No,Madagascar,,BEM,,Aplite dike,49.9634,-13.9741,,,zircon,Tucker et al. 1999b,,749,50,2
RT-95V-87,Magmatic,No,,No,Madagascar,,BEM,,"Granite à biotite, groupe de Manambato",49.8105,-13.2497,,,zircon,Tucker et al. 1999b,,716.5,50,2
RT-99D-18A,Magmatic,No,,No,Madagascar,,BEM,,Daraina rhyolite bomb,49.6317,-13.1874,,,zircon,Tucker et al. 1999b,,751.5,50,2
RT-99M-30,Magmatic,No,,No,Madagascar,,BEM,,Milanoa granodiorite,49.7259,-13.6402,,,zircon,Tucker et al. 1999b,,716,50,2
RT-99M-39E,Magmatic,No,,No,Madagascar,,BEM,,Milanoa rhyolite bomb,49.7683,-13.655,,,zircon,Tucker et al. 1999b,,746.8,50,2
RT-99M-50,Magmatic,No,,No,Madagascar,,BEM,,Milanoa granite,49.7969,-13.634,,,zircon,Tucker et al. 1999b,,712.7,50,2
TNT-06-07,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,76.540000,9.945833,,,zircon,Vijaya Kumar et al 2017,,771,6,
TNT-06-21,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,76.025278,9.817222,,,zircon,Vijaya Kumar et al 2017,,777,45,
I06-23,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,Monzodiorite,77.44352778,9.358638889,,,zircon,Plavsa 2012,,781,8,
TNT-99-44,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,77.576667,10.527222,,,zircon,Vijaya Kumar et al 2017,,782,10,
SI10-113,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,granodioritic gneiss,78.11902778,10.73491667,,,zircon,Plavsa 2015,,789,5,
S?404B,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,76.55361111,10.92416667,,,zircon,"Ghosh et al., 2004",,791,50,
I06-76,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,Granite,77.51383333,10.10180556,,,zircon,Plavsa 2012,,795,17,
S?267,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,77.94666667,10.65777778,,,zircon,"Ghosh et al., 2004",,796,1,
I06-22,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,Granodiorite,77.44352778,9.358638889,,,zircon,Plavsa 2012,,798,22,
S?259M,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,78.27972222,10.685,,,zircon,"Ghosh et al., 2004",,800,100,
S?414,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,76.51555556,10.62694444,,,zircon,"Ghosh et al., 2004",,800,100,
TNT-06-74,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,77.451944,8.863056,,,zircon,Vijaya Kumar et al 2017,,869,52,
TNT-05-14,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,77.833889,9.717222,,,zircon,Vijaya Kumar et al 2017,,900,9,
TNT-06-76,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,77.449722,8.716389,,,zircon,Vijaya Kumar et al 2017,,914,30,
S?325C,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,76.87388889,9.146111111,,,zircon,"Ghosh et al., 2004",,952,19,
I06-33,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,Quartz monzonite,77.47358333,9.396416667,,,zircon,Plavsa 2012,,1007,23,
S?320Z,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,,76.88583333,9.114166667,,,zircon,"Ghosh et al., 2004",,1082,0.52,
Ind-2,Magmatic,No,,No,India,India - Southern Granulite Terrane,,,Charnockite,76.90666667,9.037777778,,,zircon,Kroner 2012,,1553,21,
