Sample,Sample protolith type,U-Pb data? (Yes/No),Used in MDS?,Lu-Hf data? (Yes/No),Country,Region,Domain,Group/Strat unit,Lithology,Longitude,Latitude,Location method,Analytical method,Mineral,Reference,DOI URL,age,ageerr,
TN-09,Magmatic,Yes,No,No,India,India - Dharwar Craton,Eastern Dharwar Craton,Pachachakupam station,Charnockite,78.758170,12.823420,Reported,ICP-MS,Zircon,Glorie et al. 2014,http://dx.doi.org/10.1016/j.precamres.2014.05.017,2519,14,
TN-10,Magmatic,Yes,No,No,India,India - Dharwar Craton,Eastern Dharwar Craton,Yelagiri hills,Granite-Syenite,78.632070,12.598640,Reported,ICP-MS,Zircon,Glorie et al. 2014,http://dx.doi.org/10.1016/j.precamres.2014.05.017,804,7,
TN-11,Magmatic,Yes,No,Yes,India,India - Dharwar Craton,Eastern Dharwar Craton,Yelagiri hills,Granite-Syenite,78.623470,12.601470,Reported,ICP-MS,Zircon,Glorie et al. 2014,http://dx.doi.org/10.1016/j.precamres.2014.05.017,821,9,
TN-05,Magmatic,Yes,No,Yes,India,India - Dharwar Craton,Eastern Dharwar Craton,Near Vellore city,Grt-bearing migmatite,79.188080,12.931690,Reported,ICP-MS,Zircon,Glorie et al. 2014,http://dx.doi.org/10.1016/j.precamres.2014.05.017,2533,10,
IK-120215-05A,Magmatic,Yes,No,No,India,India - Dharwar Craton,Western Dharwar Craton,Karwar Region,tonalite-trondhjemite-granodiorite,74.169000,14.770000,Georeferenced,SHRIMP,Zircon,Ishwar-Kumar et al. 2013,http://dx.doi.org/10.1016/j.precamres.2013.07.023,3201,5,
IK-120215-12A,Magmatic,Yes,No,No,India,India - Dharwar Craton,Western Dharwar Craton,Karwar Region,tonalite-trondhjemite-granodiorite,74.286000,14.732000,Georeferenced,SHRIMP,Zircon,Ishwar-Kumar et al. 2013,http://dx.doi.org/10.1016/j.precamres.2013.07.023,3207,4,
IK-120216-07A,Magmatic,Yes,No,No,India,India - Dharwar Craton,Western Dharwar Craton,Karwar Region,tonalite-trondhjemite-granodiorite,74.252000,14.843000,Georeferenced,SHRIMP,Zircon,Ishwar-Kumar et al. 2013,http://dx.doi.org/10.1016/j.precamres.2013.07.023,3205,50,
IK-120629-03,Magmatic,Yes,No,No,India,India - Dharwar Craton,Western Dharwar Craton,Gadag Greenstone Belt,Quartzo-feldspathic gneiss,75.524000,15.124000,Georeferenced,SHRIMP,Zircon,Ishwar-Kumar et al. 2013,http://dx.doi.org/10.1016/j.precamres.2013.07.023,2571,2,
GAD 3,Magmatic,Yes,No,No,India,India - Dharwar Craton,Eastern Dharwar Craton, ,Felsic Volcanics,77.75,16.183,Georeferenced,IMS 1270,Zircon,Jayananda et al. 2013,http://dx.doi.org/10.1016/j.precamres.2012.05.002,2522,54,
IND 322,Magmatic,Yes,No,No,India,India - Dharwar Craton,Eastern Dharwar Craton, ,Felsic Volcanics,76.783,16.183,Georeferenced,IMS 1270,Zircon,Jayananda et al. 2013,http://dx.doi.org/10.1016/j.precamres.2012.05.002,2569,13,
PAD 2,Magmatic,Yes,No,No,India,India - Dharwar Craton,Eastern Dharwar Craton, ,Felsic Volcanics,78.5,16.5,Georeferenced,IMS 1270,Zircon,Jayananda et al. 2013,http://dx.doi.org/10.1016/j.precamres.2012.05.002,2400,100,
PK1-94,Magmatic,Yes,No,No,India,India - Dharwar Craton,Western Dharwar Craton,Gadag Greenstone Belt,Felsic Volcanics,75.642,15.345,Georeferenced,SHRIMP,Zircon,Jayananda et al. 2013,http://dx.doi.org/10.1016/j.precamres.2012.05.002,2598,55,
PK6-96,Magmatic,Yes,No,No,India,India - Dharwar Craton,Eastern Dharwar Craton, ,Felsic Volcanics,78.276,12.879,Georeferenced,SHRIMP,Zircon,Jayananda et al. 2013,http://dx.doi.org/10.1016/j.precamres.2012.05.002,2554,10,
PK8-96,Magmatic,Yes,No,No,India,India - Dharwar Craton,Cuddapah Basin, ,Felsic Volcanics,78.133,14.75,Georeferenced,SHRIMP,Zircon,Jayananda et al. 2013,http://dx.doi.org/10.1016/j.precamres.2012.05.002,2556,13,
VEL 1,Magmatic,Yes,No,No,India,India - Dharwar Craton,Eastern Dharwar Craton, ,Felsic Volcanics,78.411,13.973,Georeferenced,SHRIMP,Zircon,Jayananda et al. 2013,http://dx.doi.org/10.1016/j.precamres.2012.05.002,2692,5,
PK3-94,Magmatic,Yes,No,No,India,India - Dharwar Craton,Western Dharwar Craton, ,Felsic Volcanics,76.597,14.106,Georeferenced,SHRIMP/TIMS,Zircon,Jayananda et al. 2013,http://dx.doi.org/10.1016/j.precamres.2012.05.002,2665,15,
WD-4,Magmatic,Yes,No,No,India,India - Dharwar Craton,Western Dharwar Craton,Nuggihalli schist belt,orthogneiss,76.457820,13.034063,Reported,Cameca ims–4f ion microprobe,Zircon,Maibam et al. 2011,http://dx.doi.org/10.1007/s12040-011-0094-1,3091,8,
WB005,Magmatic,Yes,No,Yes,Madagascar,Madagascar - central,Antananarivo Domain,Tsaratanana Complex,Metarhyolite,48.55558333,-18.97194444,Reported,,Zircon,BGS et al. 2008/Archibald et al. 2016,http://dx.doi.org/10.1016/j.precamres.2016.05.014,793,11,
