Sample,Spot name,Collated,CoreRim,Sample protolith type,Country,Region,Region2,Domain,Lithology,Reference,Ref2,long,lat,age76,age76_2s,age638,age638_2s,age735,age735_2s,,
010201-5,C32,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,794,46,815,46,809,50,,
010201-5,C30,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,795,56,788,52,790,56,,
010201-5,C34,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,801,56,774,36,781,42,,
010201-5,C24,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,803,50,817,48,813,52,,
010201-5,C28,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,806,76,748,42,762,50,,
010201-5,C31,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,811,52,794,42,799,46,,
010201-5,C26,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,817,54,828,40,825,46,,
010201-5,C38,2,R,Detrital,India,India - Eastern Ghats/Cuddapah Basin,India - Eastern Ghats/Cuddapah Basin,0,"stromatic khondalite, with garnet bearing leucosomes, Chilka Lake",Upadhyay et al. 2009,0,85.58636111,20.10661111,1045,48,949,44,978,52,,
AYY-1,Zr10-1,2,R,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,477,54,521,29,,,,
AYY-1,Zr3-2,2,R,Detrital,India,India - Southern Granulite Terrane,India - Southern Granulite Terrane,NMB,corundum bearing paragneiss,Raith et al. 2010,0,78.31261111,10.90572222,510,94,536,17,,,,
